"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;SQL;Visual Basic (.Net)","Microsoft SQL Server","Microsoft Azure","Blazor","Oil & Gas","ChatGPT","Synk Code;Tabnine","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;Python;SQL;TypeScript","PostgreSQL;Solr;SQLite","Amazon Web Services (AWS)","Angular;AngularJS;Express;FastAPI;Flask;Node.js;React","Legal Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;TypeScript","PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud;Netlify","Django;NestJS;Next.js;Node.js;React","Legal Services","ChatGPT;Phind","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Microsoft Access;Microsoft SQL Server;MongoDB;Redis","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;jQuery","Higher Education","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Engineering manager","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Python;Ruby","MariaDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Linode, now Akamai;Microsoft Azure;Vultr","AngularJS;Django;Ruby on Rails;Vue.js","Oil & Gas","Bing AI;ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Clojure;Elixir;Erlang;Go","PostgreSQL;SQLite","Google Cloud","Phoenix;React;Svelte","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Employed, full-time"
"nelson mandela bay campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;Kotlin;TypeScript","Firebase Realtime Database;SQLite","Firebase","Node.js","Retail and Consumer Services","ChatGPT","Codeium","Independent contractor, freelancer, or self-employed"
"pretoria campus","IT","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;JavaScript;PHP;SQL","MySQL;Redis","Amazon Web Services (AWS)","jQuery","Manufacturing, Transportation, or Supply Chain","ChatGPT;Google Bard AI","Tabnine","Independent contractor, freelancer, or self-employed;Employed, part-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;JavaScript;Python;SQL","Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis","VMware","ASP.NET;Django;Express;Node.js;React","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","PHP;Python;SQL;TypeScript","BigQuery;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;Laravel;Node.js","Advertising Services","ChatGPT;Google Bard AI","Codeium;Synk Code;Whispr AI","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS)","Angular;Express;Next.js;Node.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;Scala","InfluxDB;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite","Cloudflare;Microsoft Azure","ASP.NET;ASP.NET CORE;Play Framework","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","Elasticsearch;MariaDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare","Laravel;Node.js;Nuxt.js;Symfony;Vue.js","Other","ChatGPT","GitHub Copilot;Synk Code","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","HTML/CSS;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Vercel","Next.js;Node.js;React","Legal Services","ChatGPT;Phind","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;JavaScript;SQL","Microsoft SQL Server;MySQL;SQLite","Firebase;Google Cloud;Managed Hosting","ASP.NET CORE;React","Other","ChatGPT","Codeium;Tabnine","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;JavaScript;PowerShell;Solidity;TypeScript","Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare","Angular;ASP.NET;ASP.NET CORE;Express;Flask","Advertising Services","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL","Elasticsearch;InfluxDB;Microsoft SQL Server;MongoDB;Neo4J;SQLite","Amazon Web Services (AWS);Microsoft Azure;OVH","ASP.NET;ASP.NET CORE;jQuery;Next.js;React","Legal Services","ChatGPT","Codeium;Tabnine","Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;SQL;TypeScript","MySQL;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Netlify","Express;Laravel;Node.js;Vue.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Python;TypeScript","MongoDB","Amazon Web Services (AWS);Vercel","Node.js;React;Vue.js","Oil & Gas","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"nelson mandela bay campus","Computer Science","I used to be a developer by profession, but no longer am","Other (please specify):","Primary/elementary school","C;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","MySQL;SQLite","Google Cloud","Express;Flask;jQuery;Node.js;React;Vue.js","Oil & Gas","Bing AI","Adrenaline;GitHub Copilot","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Erlang;Haskell;JavaScript;Julia;Python;Rust;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Linode, now Akamai;Managed Hosting;Netlify;Scaleway;Vercel;Vultr","Elm;Express;Fastify;Next.js;Node.js;Phoenix;React;WordPress","Healthcare","WolframAlpha","AWS CodeWhisperer","Independent contractor, freelancer, or self-employed"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Python;Ruby;Rust;Scala;SQL;TypeScript","BigQuery;Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite","Fly.io;Google Cloud","Deno;FastAPI","Insurance","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PHP;SQL","MariaDB;Microsoft SQL Server;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Managed Hosting;Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;Blazor;Drupal;jQuery;React","Legal Services","ChatGPT","Codeium;Synk Code;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript","MongoDB","Heroku","Express;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Java;JavaScript;Kotlin;TypeScript","Dynamodb","Amazon Web Services (AWS);Firebase;OpenShift","Angular;React;Spring Boot;Vue.js","Healthcare","ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;Java;JavaScript;Perl;Python;Ruby;SQL;TypeScript","Cosmos DB;Couch DB;Microsoft SQL Server;MongoDB;Neo4J","Amazon Web Services (AWS);Microsoft Azure","Angular;AngularJS;Next.js;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Rubber Duck.AI;Tabnine","Independent contractor, freelancer, or self-employed"
"bloemfontein campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Cloud infrastructure engineer","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);PHP;Python;SQL","Elasticsearch;MariaDB;MySQL","Amazon Web Services (AWS);Managed Hosting;OpenShift;OpenStack;OVH;VMware","WordPress","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;Dart;Go;Kotlin;Rust;SQL","Elasticsearch;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean","Spring Boot","Healthcare","ChatGPT","Codeium;GitHub Copilot","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","Elasticsearch;MariaDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","jQuery;React;Symfony;WordPress","Advertising Services","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Java;JavaScript;Perl;PHP;Python;SQL","Elasticsearch;H2;MariaDB;Microsoft Access;PostgreSQL;Redis;SQLite","Digital Ocean;OVH","AngularJS;jQuery;Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;Phind","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"bloemfontein campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin;Python;Scala;SQL","Elasticsearch;MySQL","Linode, now Akamai;Microsoft Azure","Play Framework;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Google Cloud;Microsoft Azure","Angular;ASP.NET CORE;Blazor;Drupal;jQuery;Node.js","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;C++;Cobol;Fortran;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;R;Scala;SQL;VBA;Visual Basic (.Net)","BigQuery;Cassandra;Cockroachdb;Couch DB;Couchbase;Dynamodb;Elasticsearch;H2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Solr;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku","Angular;CodeIgniter;Drupal;Express;jQuery;Next.js;Node.js;Play Framework;React;Spring Boot;WordPress","Wholesale","Bing AI;ChatGPT;Quora Poe","Adrenaline;AWS CodeWhisperer","Employed, full-time"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Python","MySQL;PostgreSQL;SQLite","Digital Ocean","ASP.NET;ASP.NET CORE;Django","Advertising Services","ChatGPT","Whispr AI","Not employed, but looking for work"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);Elixir;HTML/CSS;Python;Ruby;SQL","MariaDB;MySQL;PostgreSQL;Redis;SQLite;Supabase","Linode, now Akamai","Django;FastAPI;Flask;Ruby on Rails","Legal Services","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"pretoria campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript","Cloud Firestore;Firebase Realtime Database;Firebird;MariaDB;Microsoft Access;Microsoft SQL Server;PostgreSQL","Firebase;Heroku;VMware","Angular;Django;Drupal;jQuery;Laravel;Node.js;React","Oil & Gas","ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;Python;SQL","MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;Flask;jQuery","Higher Education","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Ada;C#;Fortran;JavaScript;PowerShell;Python;SQL;TypeScript","Dynamodb;Microsoft SQL Server;MySQL","Amazon Web Services (AWS);Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;JavaScript;Kotlin","BigQuery;Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Spring Boot;Vue.js","Legal Services","ChatGPT","Tabnine","Independent contractor, freelancer, or self-employed"
"pretoria campus","IT","I am learning to code","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Java;JavaScript;MATLAB;Python;SQL","MongoDB;MySQL;SQLite","VMware","Express;Node.js","Oil & Gas","Bing AI","GitHub Copilot;Synk Code","Not employed, but looking for work;Student, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C++;Java;JavaScript;Python;SQL","Elasticsearch;MariaDB;MongoDB;Redis","Amazon Web Services (AWS);Digital Ocean","Vue.js","Other","Bing AI;ChatGPT","Favorable","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Rust;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Netlify;Vercel","Express;NestJS;Next.js;Node.js;React;Svelte","Higher Education","ChatGPT","AWS CodeWhisperer;Mintlify","Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Data Science","I code primarily as a hobby","Student","Some college/university study without earning a degree","C;GDScript;Java;JavaScript;PHP;Python;Rust;SQL","H2;MySQL;PostgreSQL","Cloudflare;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Vue.js","Oil & Gas","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Rubber Duck.AI","Not employed, but looking for work;Student, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","PostgreSQL","Amazon Web Services (AWS);Linode, now Akamai;Microsoft Azure","React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS)","Deno;React;Symfony","Healthcare","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;Elixir;HTML/CSS;Java;MATLAB;Objective-C;PHP;Python;Ruby;SQL","MariaDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Heroku;OVH","jQuery;Laravel;Ruby on Rails","Retail and Consumer Services","Bing AI;ChatGPT","AWS CodeWhisperer;Tabnine","Independent contractor, freelancer, or self-employed"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;R;Solidity;SQL;TypeScript","Cassandra;Cosmos DB;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite","Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify","Angular;Django;Express;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress","Retail and Consumer Services","ChatGPT","GitHub Copilot;Synk Code","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Scala;SQL;TypeScript;Visual Basic (.Net)","Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","OVH","Angular;ASP.NET CORE;Flask;Laravel;Nuxt.js;Svelte;Vue.js;WordPress","Financial Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time;Independent contractor, freelancer, or self-employed"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","JavaScript;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);Firebase;Google Cloud","Angular;jQuery;Node.js;WordPress","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"vanderbijlpark campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;JavaScript;Kotlin;Python;SQL","MariaDB;MongoDB","Cloudflare;Google Cloud;OVH;Scaleway","Node.js;Vue.js","Financial Services","ChatGPT","Tabnine","Employed, full-time"
"durban campus","IT","I am learning to code","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;HTML/CSS;Python;Rust;SQL","Clickhouse;DuckDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS)","FastAPI;Flask","Wholesale","ChatGPT","Adrenaline;Tabnine","Independent contractor, freelancer, or self-employed;Student, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;Groovy;JavaScript;Python;SQL;TypeScript","Dynamodb;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","Next.js;Node.js;React;Svelte","Legal Services","WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;PowerShell;SQL","Dynamodb;Microsoft SQL Server","Amazon Web Services (AWS)","Blazor;Vue.js","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;Java;JavaScript;Python;SQL","Cosmos DB;Elasticsearch;PostgreSQL;Redis","Amazon Web Services (AWS);Microsoft Azure;Vultr","Angular;React;Spring Boot","Other","Bing AI;ChatGPT;Perplexity AI","Adrenaline;Mintlify;Rubber Duck.AI","Employed, full-time"
"bloemfontein campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Elixir;Go;Haskell;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript","Cloud Firestore;Microsoft SQL Server;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Linode, now Akamai;Microsoft Azure;Netlify;Vercel","ASP.NET CORE;Deno;Fastify;Flask;NestJS;Next.js;Node.js;Phoenix;React;Svelte","Wholesale","ChatGPT;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);Java;JavaScript;SQL","H2;MySQL;PostgreSQL","Amazon Web Services (AWS)","jQuery;Node.js;Spring Boot","Insurance","WolframAlpha","Mintlify;Tabnine","Employed, full-time"
"nelson mandela bay campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;Ruby;SQL;TypeScript","BigQuery","Amazon Web Services (AWS);Google Cloud;Oracle Cloud Infrastructure (OCI)","Node.js;React","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI","Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Elixir;Swift","PostgreSQL;Redis","Amazon Web Services (AWS);Fly.io;Heroku","Phoenix","Healthcare","Bing AI;ChatGPT","Mintlify;Tabnine","Employed, full-time"
"durban campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data or business analyst","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;SQL","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Firebase;Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;React;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time;Student, part-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript","Microsoft SQL Server;MongoDB","Cloudflare;Microsoft Azure","Angular;ASP.NET CORE;jQuery","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","GitHub Copilot;Mintlify;Tabnine","Employed, full-time"
"pretoria campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Node.js","Healthcare","ChatGPT","AWS CodeWhisperer;Tabnine","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;TypeScript","Dynamodb;Elasticsearch;MongoDB","Amazon Web Services (AWS);Cloudflare;Heroku","Express;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;MATLAB;Python;SQL","Cockroachdb;MongoDB;PostgreSQL;Redis","Digital Ocean","Django;React","Healthcare","Bing AI;ChatGPT","Codeium;GitHub Copilot","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL","Digital Ocean","React;WordPress","Insurance","ChatGPT","GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"durban campus","IT","I am a developer by profession","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;JavaScript;Python;TypeScript","Dynamodb;Redis;SQLite","Amazon Web Services (AWS);VMware","Express;FastAPI;React","Legal Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Student, full-time;Employed, part-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Java;SQL","MySQL","Google Cloud","Spring Boot","Retail and Consumer Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
